Beras,Cabai Merah,Cabai Merah Keriting,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Bawang Merah,Bawang Putih,Tanggal Lengkap
11750.0,33150.0,28750.0,38150.0,33750.0,42500.0,33750.0,28000.0,2021-06-30
11750.0,33150.0,28750.0,38150.0,33750.0,42500.0,33750.0,28000.0,2021-07-01
11750.0,33150.0,28750.0,38150.0,33750.0,42500.0,33750.0,28000.0,2021-07-02
11750.0,33150.0,28750.0,38150.0,33750.0,42500.0,33750.0,28000.0,2021-07-05
11750.0,33150.0,28750.0,38150.0,33750.0,42500.0,33750.0,28000.0,2021-07-06
11750.0,33150.0,28750.0,38150.0,33750.0,42500.0,33750.0,28000.0,2021-07-07
11750.0,34400.0,31250.0,40650.0,33750.0,47500.0,33750.0,28000.0,2021-07-08
11750.0,34400.0,31250.0,40650.0,33750.0,47500.0,33750.0,28000.0,2021-07-09
11750.0,34400.0,31250.0,40650.0,33750.0,47500.0,33750.0,28000.0,2021-07-12
11750.0,34400.0,31250.0,40650.0,33750.0,47500.0,33750.0,28000.0,2021-07-13
11750.0,34400.0,31250.0,40650.0,33750.0,47500.0,33750.0,28000.0,2021-07-14
11750.0,34400.0,31250.0,40650.0,33750.0,47500.0,33750.0,28000.0,2021-07-15
11750.0,34400.0,31250.0,40650.0,33750.0,47500.0,33750.0,28000.0,2021-07-16
11750.0,35650.0,31250.0,40650.0,33750.0,47500.0,33750.0,28000.0,2021-07-19
11750.0,35650.0,31250.0,40650.0,33750.0,47500.0,33750.0,28000.0,2021-07-20
11750.0,35650.0,31250.0,45650.0,33750.0,57500.0,33750.0,28000.0,2021-07-21
11750.0,35650.0,31250.0,45650.0,33750.0,57500.0,33750.0,28000.0,2021-07-22
11750.0,35650.0,31250.0,45650.0,33750.0,57500.0,33750.0,28000.0,2021-07-23
11750.0,36250.0,32500.0,45650.0,33750.0,57500.0,34500.0,28000.0,2021-07-26
11750.0,35000.0,32500.0,45650.0,33750.0,57500.0,34500.0,28000.0,2021-07-27
11750.0,35000.0,32500.0,45650.0,33750.0,57500.0,34500.0,28000.0,2021-07-28
11750.0,35000.0,32500.0,45650.0,33750.0,57500.0,34500.0,28000.0,2021-07-29
11750.0,35000.0,32500.0,45650.0,33750.0,57500.0,34500.0,28000.0,2021-07-30
11750.0,35000.0,32500.0,44400.0,33750.0,55000.0,34500.0,28000.0,2021-08-02
11750.0,35000.0,32500.0,41900.0,33750.0,50000.0,34500.0,28000.0,2021-08-03
11750.0,35000.0,32500.0,41900.0,33750.0,50000.0,34500.0,28000.0,2021-08-04
11750.0,35000.0,32500.0,41900.0,33750.0,50000.0,34500.0,28000.0,2021-08-05
11750.0,35000.0,32500.0,41900.0,33750.0,50000.0,34500.0,28000.0,2021-08-06
11750.0,35000.0,32500.0,41900.0,33750.0,50000.0,34500.0,28000.0,2021-08-09
11750.0,35000.0,32500.0,41900.0,33750.0,50000.0,34500.0,28000.0,2021-08-10
11750.0,35000.0,32500.0,41900.0,33750.0,50000.0,34500.0,28000.0,2021-08-11
11750.0,35000.0,32500.0,41900.0,33750.0,50000.0,33750.0,28000.0,2021-08-12
11750.0,35000.0,32500.0,41900.0,33750.0,50000.0,33750.0,28000.0,2021-08-13
11750.0,33750.0,31250.0,38150.0,32500.0,43750.0,33750.0,28000.0,2021-08-16
11750.0,33750.0,31250.0,38150.0,32500.0,43750.0,33750.0,28000.0,2021-08-17
11750.0,33750.0,31250.0,33150.0,32500.0,33750.0,33750.0,28000.0,2021-08-18
11750.0,33750.0,31250.0,33150.0,32500.0,33750.0,33750.0,28000.0,2021-08-19
11750.0,33750.0,31250.0,33150.0,32500.0,33750.0,33750.0,28000.0,2021-08-20
11750.0,31900.0,30000.0,32500.0,31250.0,33750.0,31250.0,28000.0,2021-08-23
11750.0,31900.0,30000.0,32500.0,31250.0,33750.0,31250.0,28000.0,2021-08-24
11750.0,31900.0,30000.0,32500.0,31250.0,33750.0,31250.0,28000.0,2021-08-25
11750.0,31900.0,30000.0,32500.0,31250.0,33750.0,31250.0,28000.0,2021-08-26
11750.0,31900.0,30000.0,30650.0,30000.0,31250.0,31750.0,28000.0,2021-08-27
11750.0,31900.0,30000.0,29400.0,28750.0,30000.0,31750.0,28000.0,2021-08-30
11750.0,31900.0,30000.0,29400.0,28750.0,30000.0,31750.0,28000.0,2021-08-31
11750.0,31900.0,30000.0,29400.0,28750.0,30000.0,31750.0,28000.0,2021-09-01
11750.0,31900.0,30000.0,29400.0,28750.0,30000.0,31750.0,28000.0,2021-09-02
11750.0,31900.0,30000.0,29400.0,28750.0,30000.0,31750.0,28000.0,2021-09-03
11750.0,31900.0,30000.0,29400.0,28750.0,30000.0,31750.0,29250.0,2021-09-06
11750.0,31900.0,30000.0,29400.0,28750.0,30000.0,31750.0,29250.0,2021-09-07
11750.0,31900.0,30000.0,29400.0,28750.0,30000.0,31750.0,29250.0,2021-09-08
11750.0,31250.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-09
11750.0,31250.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-10
11750.0,32500.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-13
11750.0,32500.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-14
11750.0,32500.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-15
11750.0,32500.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-16
11750.0,32500.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-17
11750.0,32500.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-20
11750.0,32500.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-21
11750.0,32500.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-22
11750.0,32500.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-23
11750.0,32500.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-24
11750.0,32500.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-27
11750.0,32500.0,28750.0,29400.0,28750.0,30000.0,31250.0,29250.0,2021-09-28
11750.0,36250.0,28750.0,29400.0,28750.0,30000.0,30750.0,29250.0,2021-09-29
11750.0,36250.0,28750.0,29400.0,28750.0,30000.0,30750.0,29250.0,2021-09-30
11750.0,36250.0,28750.0,29400.0,28750.0,30000.0,30750.0,29250.0,2021-10-01
11750.0,36900.0,30000.0,29400.0,28750.0,30000.0,30750.0,29250.0,2021-10-04
11750.0,37500.0,31250.0,30000.0,30000.0,30000.0,30750.0,29250.0,2021-10-05
11750.0,38150.0,32500.0,30000.0,30000.0,30000.0,30750.0,29250.0,2021-10-06
11750.0,38150.0,32500.0,30000.0,30000.0,30000.0,30750.0,29250.0,2021-10-07
11750.0,38150.0,32500.0,30000.0,30000.0,30000.0,30750.0,29250.0,2021-10-08
11750.0,38150.0,32500.0,30000.0,30000.0,30000.0,30750.0,29250.0,2021-10-11
11750.0,38150.0,32500.0,30000.0,30000.0,30000.0,30750.0,29250.0,2021-10-12
11750.0,38150.0,32500.0,30000.0,30000.0,30000.0,30750.0,29250.0,2021-10-13
11750.0,38150.0,32500.0,30000.0,30000.0,30000.0,30750.0,29250.0,2021-10-14
11750.0,38150.0,32500.0,30000.0,30000.0,30000.0,30750.0,29250.0,2021-10-15
11750.0,38150.0,32500.0,30000.0,30000.0,30000.0,30750.0,29250.0,2021-10-18
11750.0,40000.0,35000.0,32500.0,33750.0,31250.0,30750.0,29250.0,2021-10-19
11750.0,40000.0,35000.0,32500.0,33750.0,31250.0,30750.0,29250.0,2021-10-20
11750.0,40000.0,35000.0,32500.0,33750.0,31250.0,30750.0,29250.0,2021-10-21
11750.0,40000.0,35000.0,32500.0,33750.0,31250.0,30750.0,29250.0,2021-10-22
11750.0,40000.0,35000.0,32500.0,33750.0,31250.0,30250.0,29250.0,2021-10-25
